energy_code,country_code,year,electricity_ktoe,country,energy_source
RA100,SI,1995,279.622,Slovenia,Hydropower
RA100,SK,1995,419.604,Slovakia,Hydropower
RA300,AT,1995,0.064,Austria,Wind power
RA300,BE,1995,0.774,Belgium,Wind power
RA300,BG,1995,0.0,Bulgaria,Wind power
RA300,CY,1995,0.0,Cyprus,Wind power
RA300,CZ,1995,0.0,Czechia,Wind power
RA300,DE,1995,147.206,Germany,Wind power
RA300,DK,1995,101.204,Denmark,Wind power
RA300,EE,1995,0.0,Estonia,Wind power
RA300,EL,1995,2.923,Greece,Wind power
RA300,ES,1995,23.216,Spain,Wind power
RA300,EU27_2020,1995,316.179,EU27 (total of EU),Wind power
RA300,FI,1995,0.946,Finland,Wind power
RA300,FR,1995,0.405,France,Wind power
RA300,HR,1995,0.0,Croatia,Wind power
RA300,HU,1995,0.0,Hungary,Wind power
RA300,IE,1995,1.399,Ireland,Wind power
RA300,IT,1995,0.774,Italy,Wind power
RA300,LT,1995,0.0,Lithuania,Wind power
RA300,LU,1995,0.0,Luxembourg,Wind power
RA300,LV,1995,0.037,Latvia,Wind power
RA300,MT,1995,0.0,Malta,Wind power
RA300,NL,1995,27.257,Netherlands,Wind power
RA300,NO,1995,0.86,Norway,Wind power
RA300,PL,1995,0.086,Poland,Wind power
RA300,PT,1995,1.376,Portugal,Wind power
RA300,RO,1995,0.0,Romania,Wind power
RA300,SE,1995,8.512,Sweden,Wind power
RA300,SI,1995,0.0,Slovenia,Wind power
RA300,SK,1995,0.0,Slovakia,Wind power
RA410,AT,1995,0.0,Austria,Solar photovoltaic
RA410,BE,1995,0.0,Belgium,Solar photovoltaic
RA410,BG,1995,0.0,Bulgaria,Solar photovoltaic
RA410,CY,1995,0.0,Cyprus,Solar photovoltaic
RA410,CZ,1995,0.0,Czechia,Solar photovoltaic
RA410,DE,1995,0.0,Germany,Solar photovoltaic
RA410,DK,1995,0.0,Denmark,Solar photovoltaic
RA410,EE,1995,0.0,Estonia,Solar photovoltaic
RA410,EL,1995,0.0,Greece,Solar photovoltaic
RA410,ES,1995,0.0,Spain,Solar photovoltaic
RA410,EU27_2020,1995,0.0,EU27 (total of EU),Solar photovoltaic
RA410,FI,1995,0.0,Finland,Solar photovoltaic
RA410,FR,1995,0.0,France,Solar photovoltaic
RA410,HR,1995,0.0,Croatia,Solar photovoltaic
RA410,HU,1995,0.0,Hungary,Solar photovoltaic
RA410,IE,1995,0.0,Ireland,Solar photovoltaic
RA410,IT,1995,0.0,Italy,Solar photovoltaic
RA410,LT,1995,0.0,Lithuania,Solar photovoltaic
RA410,LU,1995,0.0,Luxembourg,Solar photovoltaic
RA410,LV,1995,0.0,Latvia,Solar photovoltaic
RA410,MT,1995,0.0,Malta,Solar photovoltaic
RA410,NL,1995,0.0,Netherlands,Solar photovoltaic
RA410,NO,1995,0.0,Norway,Solar photovoltaic
RA410,PL,1995,0.0,Poland,Solar photovoltaic
RA410,PT,1995,0.0,Portugal,Solar photovoltaic
RA410,RO,1995,0.0,Romania,Solar photovoltaic
RA410,SE,1995,0.0,Sweden,Solar photovoltaic
RA410,SI,1995,0.0,Slovenia,Solar photovoltaic
RA410,SK,1995,0.0,Slovakia,Solar photovoltaic
RA420,AT,1995,0.089,Austria,Solar thermal
RA420,BE,1995,0.0,Belgium,Solar thermal
RA420,BG,1995,0.0,Bulgaria,Solar thermal
RA420,CY,1995,0.0,Cyprus,Solar thermal
RA420,CZ,1995,0.0,Czechia,Solar thermal
RA420,DE,1995,0.602,Germany,Solar thermal
RA420,DK,1995,0.0,Denmark,Solar thermal
